pitcher_id,pitcher_name,team,opponent,home_away,game_date,throws,recent_csw,recent_swstr,recent_pitches,recent_games,ks_actual
669923,,Seattle Mariners,Los Angeles Angels,away,2025-07-26,R,0.3093666507505171,0.15236051502145923,466,5,9
608372,,Baltimore Orioles,Colorado Rockies,home,2025-07-27,R,0.25003333826413016,0.09662921348314607,445,5,8
596295,,Colorado Rockies,Baltimore Orioles,away,2025-07-27,L,0.22976885183781737,0.0660377358490566,424,5,2
621111,,Boston Red Sox,Los Angeles Dodgers,home,2025-07-27,R,0.23148644044442776,0.07439824945295405,457,5,4
669160,,Los Angeles Dodgers,Boston Red Sox,away,2025-07-27,R,0.2622008515879925,0.0787037037037037,432,5,5
694973,,Pittsburgh Pirates,Arizona Diamondbacks,home,2025-07-27,R,0.3217953235395096,0.1585081585081585,429,5,9
668678,,Arizona Diamondbacks,Pittsburgh Pirates,away,2025-07-27,R,0.2867475254290036,0.11422413793103449,464,5,5
607074,,New York Yankees,Philadelphia Phillies,home,2025-07-27,L,0.2833690399407806,0.11422845691382766,499,5,8
554430,,Philadelphia Phillies,New York Yankees,away,2025-07-27,R,0.29307228768166976,0.16666666666666666,528,5,8
663903,,Cincinnati Reds,Tampa Bay Rays,home,2025-07-27,R,0.2571369655015491,0.09273182957393483,399,5,8
669358,,Tampa Bay Rays,Cincinnati Reds,away,2025-07-27,R,0.25787244357268463,0.1257995735607676,469,5,5
656427,,Detroit Tigers,Toronto Blue Jays,home,2025-07-27,R,0.2847521080066524,0.14346895074946467,467,5,7
453286,,Toronto Blue Jays,Detroit Tigers,away,2025-07-27,R,0.29089984350547726,0.12649164677804295,419,5,11
702070,,Kansas City Royals,Cleveland Guardians,home,2025-07-27,L,0.2708130754964984,0.12875536480686695,466,5,6
676282,,Cleveland Guardians,Kansas City Royals,away,2025-07-27,L,0.3002738339570009,0.13349514563106796,412,5,4
676467,,Houston Astros,Athletics,home,2025-07-27,L,0.2215681125622831,0.08021390374331551,374,5,6
669372,,Athletics,Houston Astros,away,2025-07-27,R,0.2997006775204773,0.11864406779661017,236,5,4
663485,,Minnesota Twins,Washington Nationals,home,2025-07-27,R,0.27792334371281735,0.09259259259259259,108,5,2
663623,,Washington Nationals,Minnesota Twins,away,2025-07-27,R,0.24163318270918102,0.06798245614035088,456,5,2
691799,,Chicago White Sox,Chicago Cubs,home,2025-07-27,R,0.32369687005236875,0.15789473684210525,114,5,2
676962,,Chicago Cubs,Chicago White Sox,away,2025-07-27,R,0.26624940041749506,0.08527131782945736,387,5,4
605540,,Milwaukee Brewers,Miami Marlins,home,2025-07-27,R,0.33388339206650397,0.1178343949044586,314,5,6
691587,,Miami Marlins,Milwaukee Brewers,away,2025-07-27,R,0.3147338668328174,0.14617169373549885,431,5,6
700241,,St. Louis Cardinals,San Diego Padres,home,2025-07-27,R,0.2349709175660192,0.08108108108108109,444,5,2
663568,,San Diego Padres,St. Louis Cardinals,away,2025-07-27,R,0.25879045356476205,0.07524271844660194,412,5,2
683004,,Texas Rangers,Atlanta Braves,home,2025-07-27,R,0.2717042033444297,0.12087912087912088,455,5,7
693821,,Atlanta Braves,Texas Rangers,away,2025-07-27,R,0.24774392677362975,0.11187214611872145,438,5,3
543294,,Los Angeles Angels,Seattle Mariners,home,2025-07-27,R,0.26227892661594987,0.07795698924731183,372,5,3
669302,,Seattle Mariners,Los Angeles Angels,away,2025-07-27,R,0.3115655237233924,0.13303769401330376,451,5,7
657424,,San Francisco Giants,New York Mets,home,2025-07-27,L,0.22335550628233558,0.09523809523809523,84,5,1
673540,,New York Mets,San Francisco Giants,away,2025-07-27,R,0.29034407366421416,0.13157894736842105,418,5,3
621107,,Baltimore Orioles,Toronto Blue Jays,home,2025-07-28,R,0.21894377293444583,0.0896358543417367,357,5,3
605135,,Toronto Blue Jays,Baltimore Orioles,away,2025-07-28,R,0.30634087009340927,0.10344827586206896,348,5,4
677944,,Cleveland Guardians,Colorado Rockies,home,2025-07-28,R,0.2553111711974509,0.07505070993914807,493,5,3
687134,,Colorado Rockies,Cleveland Guardians,away,2025-07-28,R,0.21167718244595904,0.06516290726817042,399,5,7
675512,,Detroit Tigers,Arizona Diamondbacks,home,2025-07-28,R,0.2768199233716475,0.12429378531073447,177,2,5
593958,,Arizona Diamondbacks,Detroit Tigers,away,2025-07-28,L,0.23436911929522766,0.09623430962343096,478,5,5
693645,,New York Yankees,Tampa Bay Rays,home,2025-07-28,R,0.2683344213246294,0.1,380,5,5
656876,,Tampa Bay Rays,New York Yankees,away,2025-07-28,R,0.2688343815513627,0.09491525423728814,295,5,5
695505,,Cincinnati Reds,Los Angeles Dodgers,home,2025-07-28,R,0.28175403543824595,0.16176470588235295,408,5,10
808967,,Los Angeles Dodgers,Cincinnati Reds,away,2025-07-28,R,0.29938650027655445,0.12962962962962962,432,5,9
680573,,Minnesota Twins,Boston Red Sox,home,2025-07-28,R,0.2502914993429408,0.0891891891891892,370,5,5
690916,,Boston Red Sox,Minnesota Twins,away,2025-07-28,R,0.23952657842234298,0.11940298507462686,335,5,2
448179,,Kansas City Royals,Atlanta Braves,home,2025-07-28,L,0.2685185185185185,0.07602339181286549,171,2,3
675911,,Atlanta Braves,Kansas City Royals,away,2025-07-28,R,0.26265365575019045,0.14084507042253522,497,5,3
663436,,Chicago White Sox,Philadelphia Phillies,home,2025-07-28,R,0.23008364337209755,0.11486486486486487,444,5,7
650911,,Philadelphia Phillies,Chicago White Sox,away,2025-07-28,L,0.3455376594772098,0.13829787234042554,470,5,5
694819,,Milwaukee Brewers,Chicago Cubs,home,2025-07-28,R,0.30540849915849916,0.16535433070866143,381,5,7
571510,,Chicago Cubs,Milwaukee Brewers,away,2025-07-28,L,0.2845224541429475,0.11286681715575621,443,5,2
669467,,St. Louis Cardinals,Miami Marlins,home,2025-07-28,R,0.2517401865177241,0.1019522776572668,461,5,4
665795,,Miami Marlins,St. Louis Cardinals,away,2025-07-28,R,0.31086726795547337,0.13895216400911162,439,5,4
664285,,Houston Astros,Washington Nationals,home,2025-07-28,L,0.2932081260972407,0.13389121338912133,478,5,12
695418,,Washington Nationals,Houston Astros,away,2025-07-28,R,0.23865894055724562,0.09142857142857143,175,5,2
686799,,Los Angeles Angels,Texas Rangers,home,2025-07-28,R,0.23162756484707706,0.09893048128342247,374,5,3
594798,,Texas Rangers,Los Angeles Angels,away,2025-07-28,R,0.2945273004657817,0.16740088105726872,454,5,8
656302,,San Diego Padres,New York Mets,home,2025-07-28,R,0.2830962438357093,0.13496932515337423,489,5,9
593423,,New York Mets,San Diego Padres,away,2025-07-28,R,0.2778379087989623,0.11904761904761904,420,5,3
687931,,San Francisco Giants,Pittsburgh Pirates,home,2025-07-28,L,0.24705882352941178,0.058823529411764705,85,1,3
656605,,Pittsburgh Pirates,San Francisco Giants,away,2025-07-28,R,0.22944182969460364,0.08735632183908046,435,5,3
676664,,Athletics,Seattle Mariners,home,2025-07-28,L,0.26347494933834914,0.10465116279069768,430,5,6
622491,,Seattle Mariners,Athletics,away,2025-07-28,R,0.25466099194189085,0.10460251046025104,478,5,4
450203,,Baltimore Orioles,Toronto Blue Jays,home,2025-07-29,,0.2782396631012015,0.10323886639676114,494,5,2
687922,,Toronto Blue Jays,Baltimore Orioles,away,2025-07-29,,0.24191859724239878,0.10989010989010989,364,5,1
687064,,Baltimore Orioles,Toronto Blue Jays,home,2025-07-29,R,0.27268035879181296,0.10483870967741936,372,5,6
641778,,Toronto Blue Jays,Baltimore Orioles,away,2025-07-29,L,0.2896140535543742,0.09832134292565947,417,5,4
671106,,Cleveland Guardians,Colorado Rockies,home,2025-07-29,L,0.25328287050832154,0.08315565031982942,469,5,3
685299,,Colorado Rockies,Cleveland Guardians,away,2025-07-29,R,0.21619248408957512,0.07073170731707316,410,5,2
663554,,Detroit Tigers,Arizona Diamondbacks,home,2025-07-29,R,0.23806555757434938,0.09046454767726161,409,5,2
694297,,Arizona Diamondbacks,Detroit Tigers,away,2025-07-29,R,0.2489199820347741,0.0944206008583691,466,5,3
608331,,New York Yankees,Tampa Bay Rays,home,2025-07-29,L,0.24950837301476186,0.09523809523809523,483,5,9
671212,,Tampa Bay Rays,New York Yankees,away,2025-07-29,R,0.28407224354592775,0.12794612794612795,297,5,6
666157,,Cincinnati Reds,Los Angeles Dodgers,home,2025-07-29,L,0.3116312888561705,0.13559322033898305,472,5,11
607192,,Los Angeles Dodgers,Cincinnati Reds,away,2025-07-29,R,0.26592016566489374,0.12368421052631579,380,5,3
701487,,Minnesota Twins,Boston Red Sox,home,2025-07-29,R,0.2361111111111111,0.125,72,1,4
608337,,Boston Red Sox,Minnesota Twins,away,2025-07-29,R,0.2701038018931331,0.13157894736842105,456,5,5
607625,,Kansas City Royals,Atlanta Braves,home,2025-07-29,R,0.2781379624421758,0.09271523178807947,453,5,5
607200,,Atlanta Braves,Kansas City Royals,away,2025-07-29,R,0.23052751986272613,0.08849557522123894,339,5,3
686563,,Chicago White Sox,Philadelphia Phillies,home,2025-07-29,R,0.211200488008828,0.09579439252336448,428,5,3
666200,,Philadelphia Phillies,Chicago White Sox,away,2025-07-29,L,0.27622662225205297,0.11697247706422019,436,5,4
682990,,Milwaukee Brewers,Chicago Cubs,home,2025-07-29,R,0.2786552507220061,0.102803738317757,428,5,3
607067,,Chicago Cubs,Milwaukee Brewers,away,2025-07-29,R,0.24304684648946764,0.07780320366132723,437,5,2
543243,,St. Louis Cardinals,Miami Marlins,home,2025-07-29,R,0.33434454434454436,0.1239193083573487,347,5,5
645261,,Miami Marlins,St. Louis Cardinals,away,2025-07-29,R,0.25002767631143996,0.07707910750507099,493,5,4
669920,,Houston Astros,Washington Nationals,home,2025-07-29,R,0.24035526315789474,0.0967741935483871,403,5,6
647336,,Washington Nationals,Houston Astros,away,2025-07-29,R,0.24327776732900075,0.09744779582366589,431,5,4
579328,,Los Angeles Angels,Texas Rangers,home,2025-07-29,L,0.24850908776956332,0.10995850622406639,482,5,5
571578,,Texas Rangers,Los Angeles Angels,away,2025-07-29,L,0.28301036939703045,0.11512415349887133,443,5,6
686701,,San Diego Padres,New York Mets,home,2025-07-29,R,0.25018083236115346,0.09873417721518987,395,5,4
640455,,New York Mets,San Diego Padres,away,2025-07-29,L,0.284595623781547,0.11589403973509933,302,4,4
434378,,San Francisco Giants,Pittsburgh Pirates,home,2025-07-29,R,0.27157510296188103,0.1111111111111111,414,5,7
663559,,Pittsburgh Pirates,San Francisco Giants,away,2025-07-29,L,0.2586660658384796,0.0703125,384,5,1
622663,,Athletics,Seattle Mariners,home,2025-07-29,R,0.2384909293578948,0.08478260869565217,460,5,6
688138,,Seattle Mariners,Athletics,away,2025-07-29,R,0.2644806446230784,0.07972665148063782,439,5,7
665152,,Baltimore Orioles,Toronto Blue Jays,home,2025-07-30,R,0.2624026731223133,0.10583153347732181,463,5,5.0
621244,,Toronto Blue Jays,Baltimore Orioles,away,2025-07-30,R,0.23379581006045047,0.07291666666666667,384,5,3.0
663978,,Detroit Tigers,Arizona Diamondbacks,home,2025-07-30,R,0.22809873163080213,0.1036036036036036,444,5,5.0
669194,,Arizona Diamondbacks,Detroit Tigers,away,2025-07-30,R,0.23740728690498675,0.07990867579908675,438,5,8.0
805673,,Minnesota Twins,Boston Red Sox,home,2025-07-30,R,0.291515444706934,0.12655086848635236,403,5,4.0
678394,,Boston Red Sox,Minnesota Twins,away,2025-07-30,R,0.2681819121325373,0.10909090909090909,495,5,4.0
687473,,Houston Astros,Washington Nationals,home,2025-07-30,R,0.24647785039941902,0.11307420494699646,283,5,5.0
669022,,Washington Nationals,Houston Astros,away,2025-07-30,L,0.2422028434431222,0.08668076109936575,473,5,4.0
672582,,Kansas City Royals,Atlanta Braves,home,2025-07-30,L,0.3682539682539683,0.057971014492753624,69,5,
666214,,Atlanta Braves,Kansas City Royals,away,2025-07-30,L,0.2861463199744496,0.12459016393442623,305,5,7.0
641302,,Chicago White Sox,Philadelphia Phillies,home,2025-07-30,L,0.2539657867195461,0.1328125,128,5,3.0
592836,,Philadelphia Phillies,Chicago White Sox,away,2025-07-30,R,0.24592365131521757,0.0425531914893617,329,5,
